Date,Value
2009-01-01,19
2010-01-01,131
2011-01-01,59
2012-01-01,26
2013-01-01,48
2014-01-01,21
2015-01-01,62
2016-01-01,21
2017-01-01,612
2018-01-01,16
2019-01-01,47
2020-01-01,39
2021-01-01,367
