Date,Value
2008-01-01,43292
2009-01-01,43758
2010-01-01,56928
2011-01-01,62932
2012-01-01,100443
2013-01-01,109495
2014-01-01,130333
2015-01-01,131870
2016-01-01,135102
2017-01-01,135102
2018-01-01,135102
2019-01-01,133456
2020-01-01,133084
2021-01-01,132945
2022-01-01,132616
2023-01-01,132304
2024-01-01,131996
